Business Name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Pastelaria Adega,191,197,172,198,261,228,58
Petiscos,161,221,129,54,51,183,83
Philz Coffee,300,278,135,117,87,206,139
Phonomenal,140,124,217,113,248,135,102
"Pizza Bocca Lupo, LLC",263,166,162,85,60,76,84
Pizza My Heart,253,222,245,267,229,101,93
Rec Room,75,231,165,169,89,90,105
Rollati Ristorante,290,262,188,226,78,113,226
Rookies Sports Lodge,290,57,145,200,100,269,154
Sa-By Thai,276,131,121,88,247,263,55
SAJJ Mediterranean,248,128,284,99,96,107,192
Salad Planet,195,124,132,152,180,66,101
San Jose Candy Kitchen,241,173,300,179,180,136,141
San Jose Downtown Food Hall,200,233,269,256,271,159,239
San Pedro Social,211,171,94,71,147,139,66
San Pedro Square Market,88,233,98,153,198,104,271
Scott's Seafood Grill & Bar,276,52,99,55,293,226,163
Scratch Cookery,238,124,129,90,253,219,224
Secco Restaurant (Inside Hilton),161,93,172,265,59,146,91
Serious Dumpling,119,276,199,217,221,122,60
Skewers & Brew,236,138,83,149,150,192,268
Slice of Homage,145,231,249,231,260,103,144
Smashburger,119,246,170,103,274,217,76
SoFA Market,68,288,80,300,123,194,290
SP2 Communal Bar & Restaurant,111,205,108,178,267,160,167
Spoonfish Poke,195,286,223,218,287,179,146
Starbucks Coffee,131,73,61,192,114,73,60
Still O.G. & Alter Ego Cocktail Bar,92,142,217,230,54,120,123
Stone Stew Restaurant 2,186,287,246,198,166,144,250
Subway (on 150 1st Street),256,79,57,71,144,187,227
Sushi Confidential,193,150,140,168,200,274,166
Taco Bell Cantina,140,144,176,103,152,125,52
Taurinus Brazilian Steak House,197,207,129,298,84,142,150
Tea Alley Inc,94,262,72,61,265,165,70
Tea Villa,180,196,288,184,69,217,281
Teske's Germania Restaurant,180,266,261,73,67,105,120
The Almaden Cafe,79,283,288,167,196,243,297
The Brit  Sports Pub & Patio,297,136,134,177,64,295,232
The City Fish,166,218,235,235,231,88,295
The Club on Post,230,137,122,130,76,190,266
The Eden Gardens,297,270,242,188,135,162,82
The FAB (Food and Beverages),222,90,109,141,65,75,87
The Farmers Union Restaurant And Bar,151,205,189,96,105,257,139
The Gelato Shop,279,99,284,251,117,160,60
The Grill on the Alley,226,181,111,240,54,156,276
The Nest,139,294,271,100,125,93,151
The Old Spaghetti Factory,204,106,289,211,240,117,215
The Old Wagon Saloon & Grill,265,104,117,84,201,289,288
The Pasta Market,216,282,82,81,166,85,279
The Tech Cafe presented by Tony Caters,95,147,192,134,196,54,281
Tiki Pete,229,252,126,203,149,94,273
Togo's,232,239,136,94,242,227,261
Towers Cafe,185,161,200,82,68,176,62
Trials Pub,230,64,59,270,240,183,264
Umi Hand Roll Bar,70,161,226,246,72,180,79
Urban Momo,248,147,176,104,242,175,110
Urban Putt San Jose,100,179,298,276,251,197,271
Urban Ritual,117,56,79,77,86,235,141
Vietnoms,262,180,122,287,233,291,209
Voltaire Coffee House,261,130,289,102,280,90,62
Voyager Craft Coffee,221,162,203,120,94,157,285
West Coast Sourdough,159,252,218,143,272,298,195
Whispers Cafe,90,298,102,255,211,203,69
Wingstop,156,165,110,280,136,297,102
Yogurtland,259,234,270,125,294,214,199
